sigma,epsilon_worst_case_sample,epsilon_1_client_records,epsilon_2_client_records,epsilon_3_client_records,epsilon_client_0,epsilon_client_1,epsilon_client_2,delta,dice,iou,precision,recall,training_seconds
0.5,119.0825,59.2859,91.5786,119.0825,58.8613,59.0725,59.2859,1e-05,0.5067,0.3743,0.5176,0.6369,5079.43
1.0,18.7191,9.9057,14.6976,18.7191,9.8179,9.8615,9.9057,1e-05,0.4885,0.3576,0.5283,0.5876,4943.78
1.5,9.31,4.9974,7.3706,9.31,4.9544,4.976,4.9974,1e-05,0.4923,0.3598,0.5319,0.5855,4976.58
2.0,6.2026,3.3608,4.9332,6.2026,3.3322,3.3465,3.3608,1e-05,0.4819,0.3527,0.4764,0.6458,4992.07
